Id,Name,Abbreviation,DateAdded,DateTimeAdded,LastUpdated
1,Alabama,AL,2015-03-01,2015-03-01,2015-03-01
2,Alaska,AK,2015-03-01,2015-03-01,2015-03-01
3,Arizona,AZ,2015-03-01,2015-03-01,2015-03-01
4,Arkansas,AR,2015-03-01,2015-03-01,2015-03-01
5,California,CA,2015-03-01,2015-03-01,2015-03-01
6,Colorado,CO,2015-03-01,2015-03-01,2015-03-01
7,Connecticut,CT,2015-03-01,2015-03-01,2015-03-01
8,Delaware,DE,2015-03-01,2015-03-01,2015-03-01
9,Florida,FL,2015-03-01,2015-03-01,2015-03-01
10,Georgia,GA,2015-03-01,2015-03-01,2015-03-01
11,Hawaii,HI,2015-03-01,2015-03-01,2015-03-01
12,Idaho,ID,2015-03-01,2015-03-01,2015-03-01
13,Illinois,IL,2015-03-01,2015-03-01,2015-03-01
14,Indiana,IN,2015-03-01,2015-03-01,2015-03-01
15,Iowa,IA,2015-03-01,2015-03-01,2015-03-01
16,Kansas,KS,2015-03-01,2015-03-01,2015-03-01
17,Kentucky,KY,2015-03-01,2015-03-01,2015-03-01
18,Louisiana,LA,2015-03-01,2015-03-01,2015-03-01
19,Maine,ME,2015-03-01,2015-03-01,2015-03-01
20,Maryland,MD,2015-03-01,2015-03-01,2015-03-01
21,Massachusetts,MA,2015-03-01,2015-03-01,2015-03-01
22,Michigan,MI,2015-03-01,2015-03-01,2015-03-01
23,Minnesota,MN,2015-03-01,2015-03-01,2015-03-01
24,Mississippi,MS,2015-03-01,2015-03-01,2015-03-01
25,Missouri,MO,2015-03-01,2015-03-01,2015-03-01
26,Montana,MT,2015-03-01,2015-03-01,2015-03-01
27,Nebraska,NE,2015-03-01,2015-03-01,2015-03-01
28,Nevada,NV,2015-03-01,2015-03-01,2015-03-01
29,New Hampshire,NH,2015-03-01,2015-03-01,2015-03-01
30,New Jersey,NJ,2015-03-01,2015-03-01,2015-03-01
31,New Mexico,NM,2015-03-01,2015-03-01,2015-03-01
32,New York,NY,2015-03-01,2015-03-01,2015-03-01
33,North Carolina,NC,2015-03-01,2015-03-01,2015-03-01
34,North Dakota,ND,2015-03-01,2015-03-01,2015-03-01
35,Ohio,OH,2015-03-01,2015-03-01,2015-03-01
36,Oklahoma,OK,2015-03-01,2015-03-01,2015-03-01
37,Oregon,OR,2015-03-01,2015-03-01,2015-03-01
38,Pennsylvania,PA,2015-03-01,2015-03-01,2015-03-01
39,Rhode Island,RI,2015-03-01,2015-03-01,2015-03-01
40,South Carolina,SC,2015-03-01,2015-03-01,2015-03-01
41,South Dakota,SD,2015-03-01,2015-03-01,2015-03-01
42,Tennessee,TN,2015-03-01,2015-03-01,2015-03-01
43,Texas,TX,2015-03-01,2015-03-01,2015-03-01
44,Utah,UT,2015-03-01,2015-03-01,2015-03-01
45,Vermont,VT,2015-03-01,2015-03-01,2015-03-01
46,Virginia,VA,2015-03-01,2015-03-01,2015-03-01
47,Washington,WA,2015-03-01,2015-03-01,2015-03-01
48,West Virginia,WV,2015-03-01,2015-03-01,2015-03-01
49,Wisconsin,WI,2015-03-01,2015-03-01,2015-03-01
50,Wyoming,WY,2015-03-01,2015-03-01,2015-03-01
51,Washington DC,DC,2015-03-01,2015-03-01,2015-03-01